date,max_rainall_in_day,no_of_rainy_days,total_rainfall,temp_mean_daily_min,year,month,mean_sunshine_hrs,mean_relative_humidity,wet_bulb_temperature
1982-01-01,36.5,10,107.1,23.3,1982,1,5.6,81.2,23.45604838709677
1982-02-01,9.4,5,27.8,23.9,1982,2,7.6,79.5,24.297619047619047
1982-03-01,61.7,11,160.8,24.3,1982,3,5.1,82.3,24.811559139784944
1982-04-01,45.1,14,157.0,24.3,1982,4,4.7,85.9,25.10375
1982-05-01,33.0,10,102.2,25.2,1982,5,5.8,83.2,25.689650537634407
1982-06-01,20.6,8,59.5,26.0,1982,6,7.3,80.3,25.729305555555552
1982-07-01,17.2,8,76.3,25.5,1982,7,7.6,77.6,25.107258064516127
1982-08-01,57.7,11,169.5,25.0,1982,8,5.4,80.4,25.02755376344086
1982-09-01,18.0,9,54.1,25.3,1982,9,5.2,80.6,25.243055555555557
1982-10-01,10.0,10,39.3,24.3,1982,10,5.6,81.5,24.90067204301075
1982-11-01,39.6,13,134.0,24.5,1982,11,5.8,83.4,25.068888888888885
1982-12-01,109.0,21,494.1,23.9,1982,12,3.3,87.7,24.621639784946236
1983-01-01,43.2,18,246.0,24.0,1983,1,4.3,85.6,24.554973118279573
1983-02-01,5.1,2,5.6,24.8,1983,2,9.3,78.0,24.97440476190476
1983-03-01,18.3,2,18.6,25.4,1983,3,8.9,76.0,25.439247311827955
1983-04-01,21.3,4,33.6,26.3,1983,4,6.6,77.2,26.09347222222222
1983-05-01,32.3,11,160.8,25.2,1983,5,5.9,83.2,25.95685483870968
1983-06-01,27.7,11,94.0,25.3,1983,6,5.9,82.4,25.872500000000002
1983-07-01,55.5,18,190.0,24.9,1983,7,5.4,83.7,25.422043010752688
1983-08-01,181.8,10,262.2,25.6,1983,8,6.3,81.2,25.54959677419355
1983-09-01,50.3,18,170.8,24.6,1983,9,3.8,84.4,25.13722222222222
1983-10-01,40.0,17,212.7,24.7,1983,10,5.2,82.5,25.239247311827956
1983-11-01,54.8,18,228.8,24.0,1983,11,3.2,85.2,24.687638888888888
1983-12-01,164.4,16,370.6,23.3,1983,12,2.7,88.0,23.882526881720427
1984-01-01,62.3,18,251.2,22.9,1984,1,4.1,85.8,23.667876344086025
1984-02-01,154.4,19,470.4,23.4,1984,2,4.1,86.0,24.00991379310345
1984-03-01,119.4,19,361.3,23.8,1984,3,5.3,85.4,24.6002688172043
1984-04-01,38.7,17,153.1,24.5,1984,4,6.2,83.8,25.178472222222222
1984-05-01,46.0,12,186.5,24.5,1984,5,6.4,84.1,25.15645161290323
1984-06-01,121.1,14,255.0,24.7,1984,6,5.4,83.1,25.2575
1984-07-01,49.2,12,127.2,24.7,1984,7,5.7,83.7,24.984274193548387
1984-08-01,22.5,13,102.7,24.3,1984,8,6.0,84.1,25.241935483870968
1984-09-01,46.5,17,186.7,23.7,1984,9,4.9,83.9,24.65791666666667
1984-10-01,47.2,11,187.5,24.3,1984,10,5.3,82.5,25.00712365591398
1984-11-01,35.4,17,127.7,24.0,1984,11,4.3,86.3,24.650138888888886
1984-12-01,58.4,22,277.4,23.6,1984,12,3.3,86.7,24.245833333333334
1985-01-01,35.5,7,111.1,23.6,1985,1,8.7,81.5,24.091129032258063
1985-02-01,18.7,11,79.3,24.1,1985,2,6.5,84.0,24.892857142857142
1985-03-01,23.8,13,88.0,24.2,1985,3,5.6,83.9,24.92822580645161
1985-04-01,29.3,14,110.5,24.4,1985,4,5.5,83.8,25.28291666666667
1985-05-01,36.2,12,70.1,25.2,1985,5,5.7,83.4,25.736962365591395
1985-06-01,9.9,14,37.0,25.1,1985,6,5.8,79.4,25.32333333333333
1985-07-01,32.2,17,131.8,23.9,1985,7,5.3,83.1,24.738575268817204
1985-08-01,21.4,11,56.9,25.1,1985,8,6.2,80.4,25.07983870967742
1985-09-01,22.0,18,110.7,24.0,1985,9,5.0,83.1,24.693055555555556
1985-10-01,30.2,21,169.0,23.9,1985,10,4.1,84.7,24.6747311827957
1985-11-01,38.2,21,179.4,23.8,1985,11,4.1,85.0,24.571805555555557
1985-12-01,86.8,22,340.1,23.7,1985,12,4.6,86.2,24.273118279569893
1986-01-01,95.6,13,308.2,23.4,1986,1,3.9,83.9,23.615591397849464
1986-02-01,23.0,2,26.7,23.9,1986,2,7.2,78.4,23.99955357142857
1986-03-01,71.1,17,353.4,24.1,1986,3,4.6,86.6,24.6747311827957
1986-04-01,56.4,14,150.0,24.7,1986,4,6.2,85.3,25.42013888888889
1986-05-01,51.3,13,145.1,25.4,1986,5,6.1,81.8,25.686155913978496
1986-06-01,34.5,13,122.9,25.3,1986,6,6.8,82.5,25.542222222222225
1986-07-01,23.5,12,109.7,25.0,1986,7,6.2,79.9,25.11209677419355
1986-08-01,28.4,11,72.9,25.2,1986,8,5.6,77.3,25.126478494623655
1986-09-01,97.6,22,396.0,23.6,1986,9,4.8,84.4,24.64486111111111
1986-10-01,65.6,20,227.3,24.3,1986,10,5.0,85.0,24.90537634408602
1986-11-01,40.5,21,256.7,24.1,1986,11,4.5,84.1,24.504583333333333
1986-12-01,131.7,16,367.2,23.9,1986,12,5.4,85.2,24.403494623655916
1987-01-01,127.4,16,568.6,23.4,1987,1,4.0,86.0,23.70255376344086
1987-02-01,34.8,7,86.9,23.7,1987,2,9.2,79.0,23.781994047619047
1987-03-01,40.9,12,132.5,24.8,1987,3,6.9,83.2,25.19475806451613
1987-04-01,27.7,10,72.5,25.1,1987,4,6.2,82.8,25.573194444444447
1987-05-01,81.4,16,270.0,25.0,1987,5,5.6,84.6,25.55766129032258
1987-06-01,30.7,15,126.6,26.0,1987,6,6.8,80.7,26.001527777777774
1987-07-01,21.6,11,80.9,25.4,1987,7,6.7,81.3,25.540188172043013
1987-08-01,48.2,16,191.9,25.0,1987,8,5.1,83.6,25.20483870967742
1987-09-01,44.5,11,129.9,24.6,1987,9,5.4,82.5,25.21027777777778
1987-10-01,5.9,9,22.6,25.2,1987,10,5.8,82.1,25.403897849462364
1987-11-01,77.7,17,347.6,24.3,1987,11,4.5,84.0,25.099861111111114
1987-12-01,24.3,11,72.8,24.2,1987,12,4.8,84.6,24.40981182795699
1988-01-01,69.0,15,237.5,24.5,1988,1,5.9,84.3,24.706989247311828
1988-02-01,46.7,9,158.1,24.6,1988,2,6.7,83.2,24.87528735632184
1988-03-01,70.1,15,186.8,24.8,1988,3,5.2,85.3,25.28682795698925
1988-04-01,22.8,13,109.6,25.2,1988,4,5.4,84.5,25.7025
1988-05-01,76.7,14,229.6,25.8,1988,5,5.6,82.7,26.008467741935483
1988-06-01,69.4,13,252.2,24.9,1988,6,6.5,81.6,25.459305555555556
1988-07-01,75.6,15,305.4,24.6,1988,7,6.0,84.0,25.204435483870967
1988-08-01,19.0,14,80.1,24.5,1988,8,4.9,84.9,25.002150537634407
1988-09-01,187.3,14,440.4,24.5,1988,9,4.8,84.5,25.004722222222224
1988-10-01,39.8,17,134.6,24.5,1988,10,4.1,83.2,25.170295698924733
1988-11-01,111.9,23,401.4,23.7,1988,11,3.7,86.8,24.58527777777778
1988-12-01,22.0,11,62.9,23.9,1988,12,5.7,81.1,23.718413978494624
1989-01-01,53.0,10,189.7,23.9,1989,1,5.8,84.1,24.39704301075269
1989-02-01,48.4,3,52.4,23.7,1989,2,6.7,78.3,23.703869047619047
1989-03-01,63.5,21,305.9,23.9,1989,3,4.5,87.6,24.72204301075269
1989-04-01,39.0,17,198.6,24.0,1989,4,5.7,86.4,25.190555555555555
1989-05-01,38.2,12,194.0,24.5,1989,5,5.2,86.6,25.4755376344086
1989-06-01,45.9,12,117.6,24.4,1989,6,6.0,83.3,25.19611111111111
1989-07-01,33.3,12,157.6,24.9,1989,7,6.0,82.6,25.386559139784943
1989-08-01,81.4,18,201.0,23.9,1989,8,5.3,83.7,24.966397849462364
1989-09-01,102.2,14,247.3,24.1,1989,9,5.5,84.4,24.846249999999998
1989-10-01,24.9,16,111.0,24.2,1989,10,5.5,83.7,24.87983870967742
1989-11-01,148.6,20,508.4,24.0,1989,11,5.4,86.0,24.7975
1989-12-01,44.2,18,179.7,23.9,1989,12,4.8,85.5,24.37889784946237
1990-01-01,73.9,13,147.4,23.7,1990,1,5.3,83.8,24.04731182795699
1990-02-01,6.6,8,24.1,24.9,1990,2,8.9,80.9,24.96175595238095
1990-03-01,48.6,4,94.2,25.0,1990,3,8.3,77.6,25.07956989247312
1990-04-01,12.0,10,52.4,25.3,1990,4,6.3,81.2,25.885972222222225
1990-05-01,153.7,11,180.1,25.6,1990,5,6.5,81.1,25.933064516129033
1990-06-01,76.1,9,112.6,25.4,1990,6,6.3,80.7,25.693888888888885
