iter	RMSE
0	2112419.139
1	2049954.996
2	1994307.954
3	1942801.303
4	1891615.801
5	1846167.204
6	1802594.349
7	1763164.023
8	1729754.556
9	1694728.529
10	1664181.635
11	1634814.533
12	1609002.062
13	1581836.158
14	1557572.14
15	1537198.816
16	1515863.964
17	1497677.572
18	1479163.249
19	1461284.692
20	1444936.649
21	1429909.718
22	1415237.868
23	1400936.843
24	1388805.267
25	1377473.769
26	1365811.223
27	1355253.63
28	1343666.091
29	1333406.436
30	1324780.511
31	1317296.907
32	1308831.253
33	1301008.623
34	1293689.706
35	1286917.565
36	1279922.09
37	1273818.095
38	1268381.633
39	1262738.439
40	1257718.732
41	1252428.844
42	1247529.758
43	1242654.154
44	1238360.89
45	1234297.043
46	1230038.391
47	1225822.122
48	1222272.273
49	1218973.097
50	1215587.024
51	1212315.726
52	1209037.722
53	1205466.103
54	1202574.837
55	1199964.349
56	1196813.399
57	1193869.671
58	1191392.989
59	1189360.637
60	1186330.853
61	1183801.336
62	1181847.797
63	1179807.986
64	1177481.093
65	1174910.835
66	1173126.443
67	1170698.003
68	1168528.45
69	1165896.358
70	1164140.752
71	1162552.853
72	1160834.83
73	1158586.567
74	1156837.279
75	1154967.626
76	1153195.697
77	1151450.029
78	1149659.076
79	1148370.471
80	1146590.998
81	1145297.084
82	1143837.788
83	1142427.744
84	1140660.078
85	1139089.826
86	1137241.37
87	1135961.336
88	1134236.156
89	1132810.797
90	1131298.774
91	1130205.676
92	1129013.45
93	1127617.249
94	1126449.097
95	1124985.65
96	1123603.024
97	1122307.683
98	1121103.643
99	1119719.975
100	1118783.978
101	1117226.43
102	1116075.895
103	1114914.485
104	1113763.305
105	1112005.538
106	1111073.437
107	1110299.573
108	1108837.622
109	1107836.576
110	1107130.648
111	1106384.834
112	1105486.374
113	1104760.447
114	1103409.022
115	1102361.432
116	1101073.535
117	1099924.494
118	1099134.616
119	1097981.661
120	1096728.99
121	1096030.496
122	1095029.191
123	1094518.411
124	1093402.173
125	1092380.749
126	1090728.587
127	1090018.298
128	1088847.008
129	1088233.365
130	1087309.278
131	1086535.761
132	1085847.193
133	1084830.641
134	1083988.523
135	1083126.155
136	1082341.21
137	1081814.938
138	1080622.709
139	1079832.198
140	1077862.623
141	1077330.216
142	1076758.567
143	1075784.127
144	1074570.38
145	1073974.542
146	1072576.231
147	1071744.62
148	1071070.494
149	1069284.382
150	1068183.424
151	1067125.299
152	1066475.699
153	1065769.896
154	1065193.463
155	1064219.725
156	1063351.844
157	1062726.236
158	1061549.323
159	1060821.613
160	1060362.177
161	1059950.935
162	1059213.689
163	1058601.965
164	1056771.052
165	1055852.846
166	1054702.499
167	1053756.285
168	1053129.265
169	1052235.186
170	1051627.805
171	1050886.157
172	1050354.001
173	1049269.3
174	1048514.336
175	1047712.485
176	1046902.123
177	1046022.717
178	1045010.826
179	1044172.345
180	1043078.763
181	1042086.639
182	1040982.136
183	1039873.009
184	1039326.764
185	1037760.934
186	1037155.268
187	1036097.285
188	1035234.468
189	1034551.557
190	1033667.923
191	1032949.567
192	1032246.89
193	1031531.461
194	1030850.68
195	1029457.967
196	1028857.204
197	1028033.033
198	1027338.03
199	1026568.529
200	1025828.332
201	1025235.898
202	1024145.213
203	1023028.914
204	1022415.211
205	1021713.54
206	1020787.377
207	1019971.763
208	1019086.619
209	1018276.225
210	1017420.132
211	1016727.142
212	1015992.272
213	1015506.972
214	1014894.08
215	1014281.713
216	1013487.199
217	1012813.278
218	1012374.956
219	1011232.942
220	1010761.896
221	1010042.677
222	1009272.642
223	1008790.529
224	1008218.025
225	1007367.954
226	1006828.423
227	1005995.784
228	1005238.982
229	1004730.989
230	1004077.897
231	1003405.418
232	1002623.549
233	1002003.621
234	1001392.728
235	1000993.879
236	1000580.019
237	1000017.852
238	999274.5682
239	998629.7205
240	998253.4375
241	997707.2924
242	997300.3779
243	996844.6622
244	996104.9936
245	995592.6332
246	995057.047
247	994264.12
248	993771.5825
249	993202.757
250	992554.2169
251	992092.279
252	991459.0386
253	990862.509
254	990071.3323
255	989606.8864
256	988972.5797
257	988311.5069
258	987624.5339
259	987200.5532
260	986737.4475
261	986204.5939
262	985723.7299
263	984966.5264
264	984422.6433
265	983805.2535
266	983347.8321
267	982786.5243
268	982184.1529
269	981867.7046
270	981276.222
271	980727.1844
272	980349.9775
273	979600.442
274	979122.1609
275	978800.9641
276	977986.5511
277	977427.8241
278	976825.6742
279	976290.2927
280	975797.3241
281	975089.3802
282	974383.6284
283	973796.0928
284	973507.84
285	972963.1821
286	972219.238
287	971746.2275
288	971249.199
289	970758.1373
290	969805.8132
291	969244.2094
292	968620.4678
293	968126.8744
294	967618.3469
295	966988.2654
296	966209.2277
297	965814.0395
298	965353.9321
299	965060.3518
300	964465.9681
301	963870.4191
302	963498.4915
303	962881.7478
304	962226.7084
