iter	Passed	Remaining
0	59	59707
1	60	30435
2	62	20744
3	64	15951
4	65	13074
5	67	11123
6	68	9711
7	69	8647
8	70	7812
9	72	7161
10	73	6635
11	75	6177
12	76	5822
13	78	5508
14	79	5243
15	81	5016
16	83	4814
17	84	4611
18	85	4427
19	86	4259
20	88	4110
21	89	3972
22	90	3849
23	91	3740
24	93	3636
25	94	3546
26	96	3472
27	98	3403
28	99	3333
29	100	3265
30	102	3197
31	103	3132
32	104	3066
33	106	3013
34	107	2959
35	108	2913
36	110	2866
37	111	2824
38	113	2786
39	114	2751
40	116	2729
41	117	2687
42	119	2649
43	120	2612
44	121	2580
45	123	2552
46	124	2524
47	125	2491
48	126	2461
49	128	2434
50	129	2410
51	130	2388
52	132	2361
53	133	2335
54	134	2310
55	135	2286
56	136	2264
57	137	2240
58	139	2218
59	140	2199
60	141	2182
61	143	2165
62	144	2148
63	145	2133
64	147	2118
65	148	2101
66	149	2087
67	151	2071
68	152	2055
69	153	2039
70	154	2027
71	156	2019
72	158	2008
73	159	2000
74	161	1995
75	162	1981
76	164	1970
77	165	1955
78	166	1942
79	167	1930
80	169	1919
81	170	1908
82	171	1897
83	173	1887
84	174	1877
85	175	1869
86	177	1866
87	179	1857
88	180	1847
89	181	1838
90	183	1829
91	184	1820
92	185	1811
93	187	1807
94	189	1800
95	190	1794
96	192	1788
97	193	1781
98	195	1775
99	196	1768
100	197	1760
101	199	1752
102	200	1743
103	201	1736
104	202	1728
105	204	1722
106	205	1714
107	206	1707
108	207	1700
109	209	1694
110	210	1687
111	212	1681
112	213	1675
113	214	1667
114	215	1660
115	217	1655
116	218	1650
117	220	1645
118	221	1639
119	223	1636
120	224	1632
121	226	1627
122	227	1623
123	228	1617
124	230	1612
125	231	1606
126	233	1604
127	235	1601
128	236	1595
129	237	1590
130	238	1585
131	240	1579
132	241	1573
133	242	1569
134	244	1564
135	245	1559
136	246	1553
137	247	1548
138	249	1544
139	250	1539
140	251	1534
141	253	1528
142	254	1523
143	255	1519
144	256	1514
145	258	1509
146	259	1507
147	261	1503
148	262	1498
149	263	1493
150	264	1489
151	266	1487
152	267	1483
153	269	1479
154	270	1475
155	271	1470
156	272	1465
157	274	1461
158	275	1458
159	277	1455
160	278	1450
161	279	1446
162	280	1442
163	282	1438
164	283	1434
165	285	1432
166	286	1429
167	287	1425
168	289	1423
169	290	1419
170	292	1416
171	293	1413
172	295	1410
173	296	1406
174	297	1403
175	299	1401
176	300	1397
177	301	1393
178	303	1390
179	304	1388
180	306	1384
181	307	1381
182	308	1378
183	309	1374
184	311	1371
185	312	1367
186	313	1364
187	315	1361
188	316	1357
189	317	1354
190	318	1350
191	320	1347
192	321	1343
193	322	1340
194	323	1337
195	325	1335
196	326	1331
197	327	1327
198	329	1324
199	330	1320
200	331	1317
201	332	1314
202	334	1311
203	335	1307
204	337	1307
205	338	1306
206	340	1303
207	341	1300
208	342	1297
209	344	1294
210	345	1292
211	346	1289
212	348	1286
213	349	1283
214	350	1280
215	351	1277
216	353	1275
217	354	1272
218	356	1271
219	357	1268
220	359	1265
221	360	1263
222	361	1260
223	363	1258
224	365	1258
225	366	1256
226	368	1254
227	369	1252
228	371	1249
229	372	1246
230	374	1245
231	375	1242
232	376	1239
233	377	1236
234	378	1233
235	380	1230
236	381	1228
237	382	1225
238	384	1223
239	385	1222
240	388	1223
241	389	1221
242	391	1218
243	392	1215
244	393	1212
245	394	1209
246	395	1206
247	396	1203
248	398	1200
249	399	1198
250	400	1195
251	401	1192
252	403	1191
253	404	1188
254	406	1186
255	407	1183
256	408	1181
257	409	1178
258	411	1176
259	412	1173
260	413	1171
261	414	1168
262	416	1166
263	417	1164
264	418	1161
265	420	1160
266	422	1158
267	423	1156
268	424	1154
269	425	1151
270	427	1149
271	428	1146
272	429	1143
273	430	1141
274	431	1138
275	432	1135
276	434	1133
277	435	1130
278	436	1128
279	438	1126
280	439	1124
281	440	1122
282	442	1120
283	443	1118
284	444	1115
285	446	1113
286	447	1111
287	448	1109
288	449	1107
289	451	1105
290	452	1103
291	454	1101
292	455	1099
293	456	1097
294	458	1094
295	459	1092
296	460	1089
297	461	1087
298	462	1085
299	464	1082
300	465	1080
301	466	1078
302	467	1076
303	469	1074
304	470	1072
305	473	1073
306	475	1072
307	477	1073
308	479	1072
309	481	1071
310	485	1075
311	487	1074
312	490	1076
313	492	1075
314	494	1074
315	495	1073
316	498	1073
317	502	1076
318	504	1077
319	506	1075
320	507	1073
321	508	1071
322	511	1071
323	512	1069
324	515	1069
325	517	1070
326	519	1069
327	520	1066
328	521	1064
329	523	1062
330	524	1060
331	525	1057
332	526	1055
333	528	1053
334	529	1051
335	530	1049
336	532	1047
337	533	1045
338	535	1044
339	536	1042
340	537	1039
341	539	1037
342	540	1034
343	541	1032
344	542	1030
345	543	1027
346	544	1025
347	546	1023
348	547	1021
349	548	1019
350	550	1017
351	551	1015
352	553	1013
353	554	1011
354	555	1009
355	556	1006
356	557	1004
357	558	1002
358	560	999
359	561	997
360	562	995
361	563	993
362	565	992
363	567	990
364	568	988
365	569	986
366	570	984
367	571	982
368	572	979
369	574	977
370	575	975
371	576	973
372	577	971
373	579	969
374	581	968
375	582	967
376	583	964
377	585	962
378	586	960
379	587	958
380	588	956
381	589	954
382	591	952
383	592	950
384	593	947
385	594	946
386	596	944
387	597	942
388	599	941
389	600	939
390	601	937
391	602	935
392	604	932
393	605	930
394	606	928
395	607	926
396	608	924
397	610	922
398	611	920
399	612	918
400	614	917
401	615	915
402	616	913
403	618	911
404	619	909
405	620	907
406	622	906
407	624	906
408	627	906
409	631	908
410	633	907
411	636	908
412	638	908
413	640	906
414	642	905
415	644	905
416	647	904
417	648	903
418	651	902
419	652	901
420	655	900
421	658	901
422	660	901
423	663	900
424	664	899
425	666	898
426	669	898
427	672	898
428	674	897
429	675	895
430	677	894
431	679	892
432	680	891
433	683	890
434	684	889
435	686	888
436	688	887
437	690	885
438	692	885
439	694	883
440	696	883
441	698	882
442	700	880
443	701	878
444	702	876
445	704	874
446	705	872
447	706	870
448	707	867
449	708	866
450	710	864
451	711	862
452	712	860
453	713	858
454	714	856
455	716	854
456	717	852
457	718	850
458	719	848
459	720	846
460	722	844
461	723	842
462	725	840
463	726	839
464	727	837
465	729	835
466	730	833
467	731	831
468	732	829
469	733	827
470	735	825
471	736	823
472	737	821
473	738	819
474	740	817
475	741	816
476	742	814
477	744	812
478	745	810
479	746	808
480	747	806
481	749	805
482	750	803
483	751	801
484	753	799
485	754	797
486	755	795
487	756	793
488	758	792
489	759	790
490	761	789
491	762	787
492	763	785
493	764	783
494	765	781
495	766	779
496	767	777
497	769	775
498	770	773
499	771	771
500	772	769
501	773	767
502	775	765
503	776	764
504	778	762
505	779	760
506	780	759
507	781	757
508	782	755
509	783	753
510	785	751
511	786	749
512	787	747
513	788	745
514	789	743
515	791	741
516	792	740
517	793	738
518	794	736
519	795	734
520	797	732
521	798	731
522	799	729
523	800	727
524	801	725
525	802	723
526	803	721
527	805	719
528	806	717
529	807	716
530	808	714
531	809	712
532	811	710
533	812	708
534	813	706
535	814	705
536	815	703
537	816	701
538	817	699
539	819	697
540	820	695
541	821	694
542	822	692
543	824	690
544	825	688
545	826	687
546	827	685
547	828	683
548	829	681
549	830	679
550	832	678
551	833	676
552	834	674
553	835	672
554	836	670
555	837	669
556	839	667
557	840	665
558	841	663
559	842	662
560	843	660
561	845	658
562	846	656
563	847	655
564	848	653
565	849	651
566	850	649
567	851	647
568	853	646
569	854	644
570	855	642
571	857	641
572	858	639
573	859	638
574	860	636
575	862	634
576	863	632
577	864	631
578	865	629
579	866	627
580	867	625
581	869	624
582	870	622
583	871	620
584	872	619
585	874	617
586	875	615
587	876	614
588	877	612
589	878	610
590	879	608
591	881	607
592	882	605
593	883	603
594	884	602
595	885	600
596	887	598
597	888	597
598	889	595
599	890	593
600	891	592
601	893	590
602	894	588
603	895	587
604	896	585
605	898	584
606	899	582
607	900	580
608	901	578
609	902	577
610	904	575
611	905	573
612	906	572
613	907	570
614	909	569
615	910	567
616	911	565
617	912	564
618	913	562
619	914	560
620	916	559
621	917	557
622	918	555
623	920	554
624	921	552
625	922	551
626	923	549
627	925	547
628	926	546
629	927	544
630	928	542
631	929	541
632	930	539
633	931	537
634	932	536
635	934	534
636	935	532
637	936	531
638	937	529
639	938	528
640	939	526
641	941	524
642	942	523
643	944	521
644	945	520
645	946	518
646	947	517
647	949	515
648	951	514
649	952	512
650	953	511
651	955	509
652	956	508
653	957	506
654	958	505
655	960	503
656	961	501
657	962	500
658	963	498
659	964	497
660	965	495
661	967	493
662	968	492
663	969	490
664	970	489
665	972	487
666	973	486
667	974	484
668	975	482
669	977	481
670	978	479
671	979	478
672	981	476
